"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HDA3",6.93457969222649e-31,-5.11960898579267,0.011,0.642,1.23796116665627e-26
"GRP4",4.94594742589519e-26,-2.02031562912812,0.097,0.815,8.8295053447081e-22
"NOP10",2.81701769994325e-24,-1.33921544670437,0.119,0.827,5.02893999793869e-20
"AT5G20160",2.49851302904618e-23,-1.48187780318278,0.173,0.901,4.46034545945325e-19
"NUC-L1",6.05056756423966e-23,-1.58652449878785,0.459,1,1.08014732156806e-18
"AT3G03920",8.41570127189162e-23,-1.60511315702234,0.254,0.963,1.50237099105809e-18
"AT5G14520",1.17480203114327e-22,-2.01312613538188,0.13,0.802,2.09725658599697e-18
"AT3G62530",3.81335234444927e-22,-1.95751299904596,0.119,0.778,6.80759660531084e-18
"AT4G12600",4.17365707619366e-22,-1.84519344839816,0.195,0.877,7.45081261242093e-18
"AT3G15357",1.38605150450376e-21,-8.51928579763175,0,0.432,2.47437914584011e-17
"PUM24",1.52365562512974e-21,-3.59943447731728,0.022,0.506,2.72003002198161e-17
"AT1G80750",2.02368306853944e-21,-1.56724721100556,0.092,0.716,3.6126790139566e-17
"AT1G77030",3.07790448070218e-21,-1.86990139976239,0.081,0.679,5.49467507894954e-17
"ROC2",9.2330113184626e-21,-1.47521747277532,0.097,0.704,1.64827718057194e-16
"NAP1%3B1",1.02761123252379e-20,-1.47498950260956,0.114,0.753,1.83449157230147e-16
"AT5G23900",1.20747785837933e-20,-1.48986847236789,0.146,0.815,2.15558947277877e-16
"AT1G52930",2.14214502411161e-20,-1.85125381126863,0.108,0.728,3.82415729704404e-16
"AN3",5.47382667374823e-20,-2.03618630760015,0.119,0.704,9.77187537797534e-16
"SPDS2",1.40301022321576e-19,-1.70503322522964,0.103,0.704,2.50465385048478e-15
"AT5G27120",1.55483369373636e-19,-1.39281480899306,0.173,0.852,2.77568911005815e-15
"AT2G09990",1.81648849782937e-19,-1.51248575784703,0.103,0.704,3.24279526632499e-15
"HD2B",3.29812201333344e-19,-1.35032092665019,0.281,0.938,5.88780741820286e-15
"AT2G28790",3.31156766672823e-19,-3.84432323631817,0.022,0.457,5.91181059864323e-15
"AT5G04600",3.47023353979488e-19,-1.63986170841882,0.114,0.704,6.19506091524181e-15
"AT5G57120",3.82373369020546e-19,-1.66800486444801,0.059,0.58,6.82612938375478e-15
"AT5G06360",4.48825808908222e-19,-1.3512293594147,0.189,0.864,8.01243834062957e-15
"AtNug2",6.36764639480971e-19,-1.34248837778672,0.092,0.654,1.13675223440143e-14
"CR88",7.25307274678074e-19,-1.42165491053613,0.103,0.691,1.2948185467553e-14
"NOP56",8.08392961750227e-19,-1.50981071579743,0.173,0.84,1.44314311531651e-14
"AT3G58700",1.00823509510959e-18,-1.60370384248829,0.13,0.741,1.79990129178964e-14
"AT2G20450",1.01633583910883e-18,-1.42077486528208,0.141,0.765,1.81436273997708e-14
"AT3G08520",1.54838198282227e-18,-1.36337318136402,0.405,0.988,2.76417151573432e-14
"AT3G56880",1.56138276488093e-18,-1.66016639553982,0.157,0.79,2.78738051186544e-14
"AT5G15550",1.87375709692657e-18,-2.01022822129102,0.065,0.58,3.34503116943332e-14
"AT1G06720",2.07088580711135e-18,-1.63611393813063,0.108,0.691,3.69694534285517e-14
"CPN60A",2.33763053417808e-18,-1.67798284720817,0.195,0.827,4.1731380296147e-14
"AT3G24080",2.89052837896312e-18,-2.00932324061413,0.086,0.63,5.16017126212496e-14
"eIF6A",4.17935124748896e-18,-1.8123277716429,0.076,0.605,7.46097784701729e-14
"AT1G60640",6.55224981638518e-18,-2.11502145293346,0.054,0.543,1.16970763722108e-13
"AT3G05060",1.0447021337959e-17,-1.26765478841952,0.173,0.778,1.86500224925243e-13
"AT3G15240",1.2202597819738e-17,-2.09855323066117,0.054,0.543,2.17840776277963e-13
"SKB1",1.35927858134507e-17,-2.502455966176,0.038,0.481,2.42658412341723e-13
"PYRB",1.36256618331897e-17,-2.55772514646559,0.049,0.519,2.43245315046103e-13
"AT2G43110",1.38479181614491e-17,-1.68149587656885,0.059,0.556,2.47213035018189e-13
"HD2C",1.43070380517232e-17,-2.57270196600918,0.043,0.506,2.55409243299363e-13
"NRP1",1.44609899331554e-17,-1.23689981719067,0.227,0.864,2.58157592286689e-13
"AT5G08180",1.47166873745874e-17,-1.35425412642189,0.232,0.84,2.62722303011134e-13
"RGF4",2.16761892761818e-17,-1.77955950858807,0.016,0.407,3.86963330958398e-13
"GR-RBP3",3.07212716558684e-17,-1.72691301157234,0.07,0.58,5.48436141600563e-13
"PRMT10",3.09003129789899e-17,-1.89492587983344,0.07,0.568,5.51632387300928e-13
"AT3G22230",3.572041715208e-17,-0.962085015786738,0.427,1,6.37680886998931e-13
"PMH1",4.90854626344608e-17,-1.43707222724104,0.076,0.58,8.76273678950394e-13
"AT5G60670",5.0070077887828e-17,-1.16416940148961,0.108,0.654,8.93851030453505e-13
"TIM8",5.19808378551026e-17,-1.75479165303743,0.114,0.642,9.27961917389292e-13
"AT4G15770",5.2132751094242e-17,-2.63362653078361,0.032,0.457,9.30673872534409e-13
"AT1G07070",5.23109259163105e-17,-1.75500261157048,0.054,0.519,9.33854649457975e-13
"IMP4",6.02333210735594e-17,-0.722825059351798,0.081,0.593,1.07528524780518e-12
"LARP1a",6.26540054044337e-17,-1.38864394223554,0.081,0.593,1.11849930447995e-12
"AT5G61880",6.28287370382894e-17,-1.75506706002916,0.043,0.494,1.12161861360754e-12
"AT5G02050",7.00912572240772e-17,-1.21210840671056,0.108,0.654,1.25126912396423e-12
"PRH75",8.0670655761866e-17,-0.911036104888776,0.151,0.778,1.44013254666083e-12
"AT3G06680",8.49644602204593e-17,-0.966016944453635,0.157,0.765,1.51678554385564e-12
"emb2444",9.21408365909037e-17,-1.14957164534457,0.07,0.568,1.64489821482081e-12
"AT3G01790",9.76417959532049e-17,-1.44207441717622,0.157,0.753,1.74310134135661e-12
"AT5G02960",1.11533113379499e-16,-1.1727413049457,0.481,1,1.99108914005082e-12
"AT2G31410",1.17883653419287e-16,-1.01548956048961,0.114,0.679,2.10445898084111e-12
"AT4G10450",1.35001090659119e-16,-1.1467735706186,0.2,0.827,2.41003947044659e-12
"AT3G52040",1.38137770531263e-16,-1.83007087895505,0.059,0.531,2.46603547952411e-12
"AT1G23280",1.46967976400117e-16,-1.55675564188645,0.059,0.531,2.62367231469488e-12
"AT3G51270",1.46967976400117e-16,-1.44521408968091,0.059,0.531,2.62367231469488e-12
