"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT3G03920",1.54806069124475e-40,-4.8468332770965,0.041,0.963,2.76359794601012e-36
"NUC-L1",2.21239385009649e-40,-4.29444764068608,0.117,1,3.94956550119226e-36
"NRP1",1.27334121376002e-36,-5.11080158591488,0.021,0.864,2.27316873480438e-32
"DI21",1.54025701233501e-36,-3.29854968509219,0.103,0.988,2.74966681842046e-32
"AT5G20160",1.85914395853317e-35,-2.65789965901872,0.041,0.901,3.31894379477342e-31
"AT4G12600",2.01123314347775e-35,-4.2908200263578,0.034,0.877,3.59045340773648e-31
"AT5G27120",3.07602131563241e-35,-5.15468550746735,0.028,0.852,5.49131325266697e-31
"NOP10",3.32410171599033e-35,-3.57791392656233,0.014,0.827,5.93418638338594e-31
"GRP4",3.95945026720621e-35,-6.39093102076292,0.014,0.815,7.06841061701653e-31
"HD2B",1.62534508037957e-34,-3.54807618391113,0.097,0.938,2.90156603749361e-30
"AT3G22230",3.54940009735838e-34,-2.97048814865417,0.193,1,6.33638905380419e-30
"KIN2",1.1131051968854e-33,-2.56312326049297,0.09,0.975,1.98711539747982e-29
"AT4G31290",2.93632451731993e-33,-3.37315796589934,0.103,0.938,5.24192652831953e-29
"AT1G41880",5.82466442637782e-33,-2.50776096436237,0.152,0.975,1.03981909339697e-28
"AT1G27400",1.52091898596934e-32,-2.66856693865021,0.159,0.975,2.71514457375246e-28
"AT2G33370",3.7185871962472e-32,-2.64833151221688,0.097,0.938,6.6384218627405e-28
"NOP56",4.26517877431703e-32,-3.46384559170816,0.041,0.84,7.61419714791076e-28
"AT3G05060",5.96220560715054e-32,-5.41674943326052,0.021,0.778,1.06437294498851e-27
"AT5G14520",8.57722765255131e-32,-4.86108473318404,0.041,0.802,1.53120668053346e-27
"GR-RBP2",1.17363714725266e-31,-3.41074703810915,0.097,0.914,2.09517703527545e-27
"AT3G62870",2.79162773742076e-31,-2.54648208764717,0.303,1,4.98361383684353e-27
"ATL5",3.47797171706181e-31,-2.76788353994803,0.179,0.975,6.20887510929873e-27
"AT3G08520",3.49640729951962e-31,-2.66535004104053,0.221,0.988,6.24178631110243e-27
"RPS5B",3.9902266176563e-31,-2.7928952894069,0.117,0.938,7.12335255784003e-27
"AT5G02960",4.82015373079342e-31,-2.6076768933569,0.269,1,8.6049384402124e-27
"AT3G16780",7.80974120801708e-31,-3.13642746725065,0.097,0.901,1.39419500045521e-26
"AT5G07090",1.69189008667169e-30,-2.77038480309077,0.152,0.951,3.02036218272629e-26
"AT5G06360",1.81566732738469e-30,-1.83412174744958,0.069,0.864,3.24132931284715e-26
"AT2G19740",2.87124521034332e-30,-1.62172214556443,0.069,0.864,5.1257469495049e-26
"AT3G56020",3.12927594768165e-30,-2.42402932450478,0.228,1,5.58638342180128e-26
"AT5G45775",3.27109096325447e-30,-3.0433497766449,0.166,0.951,5.83955158760189e-26
"AT3G23940",4.38003884550167e-30,-5.38207503820635,0.021,0.741,7.81924534698958e-26
"AT1G52930",4.55110105901342e-30,-5.85145421716184,0.014,0.728,8.12462561055076e-26
"AT2G01250",6.16033418429585e-30,-2.19184380511282,0.2,0.988,1.0997428585805e-25
"AT5G56710",8.83798927487336e-30,-2.5954699107552,0.234,0.988,1.57775784535039e-25
"RPL23AA",9.45771544781088e-30,-2.46766504633581,0.228,0.988,1.6883913617432e-25
