"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGP31",6.99209162062196e-18,-1.8517313107568,0.359,0.789,1.24822819611343e-13
"BGLU21",9.6039795723582e-17,-4.26868033263134,0.034,0.443,1.71450243325739e-12
"LCR68",3.79155160366314e-16,7.85693734932561,0.324,0.005,6.76867792285944e-12
"AT2G43610",7.38269013304699e-16,-3.49662982555017,0.028,0.422,1.31795784255155e-11
"AT1G36060",1.8187917877315e-15,-5.22095557101472,0.007,0.373,3.24690709945828e-11
"UCC2",2.01959005503075e-15,4.30893569041563,0.441,0.081,3.6053721662409e-11
"AT3G62870",6.44176919467061e-15,-1.99181593285025,0.303,0.692,1.1499846366326e-10
"AT5G10130",1.22398116031436e-13,-6.57298148684468,0.007,0.33,2.18505116739319e-09
"AGP4",1.2528295713596e-13,2.93294291677808,0.538,0.178,2.23655135079116e-09
"NUC-L1",3.80906893532596e-12,-2.70792314189823,0.117,0.459,6.7999498633439e-08
"XYP2",4.23844342253065e-12,9.77136732135198,0.234,0,7.56646919790171e-08
"BBC1",6.65183355833305e-12,-1.56352804875698,0.386,0.703,1.18748532683362e-07
"AT1G62480",1.90138088538573e-11,3.81856493095585,0.262,0.016,3.39434515659061e-07
"AT3G09200",2.26772717836188e-11,-1.27099884820194,0.345,0.681,4.04834655881163e-07
"AT2G01250",2.45613520171344e-11,-1.81911818840554,0.2,0.53,4.38469256209884e-07
"AT2G19730",3.87713868697982e-11,-1.84911082261912,0.241,0.573,6.92146798399637e-07
"LAX3",5.72766134586075e-11,5.90744616479527,0.248,0.016,1.02250210346306e-06
"AT1G12080",6.38284756888807e-11,4.43432059507282,0.241,0.011,1.1394659479979e-06
"PYK10",7.10022232117792e-11,-2.4699127378931,0.034,0.33,1.26753168877668e-06
"AT4G16720",9.05094720289193e-11,-1.65125639997253,0.2,0.541,1.61577509466027e-06
"JAL34",1.07748186931339e-10,-1.4920462714022,0.09,0.416,1.92352063309827e-06
"KIN2",1.90315077893754e-10,-2.08036294319178,0.09,0.405,3.3975047705593e-06
"AT1G27400",4.19368213932608e-10,-1.85159737884154,0.159,0.47,7.48656135512492e-06
"PATL1",4.69197014868357e-10,9.14474905090042,0.193,0,8.37610510942991e-06
"AT3G56480",4.69197014868357e-10,8.57351015487968,0.193,0,8.37610510942991e-06
"ATBFRUCT1",4.81464892915649e-10,-1.1263511161088,0.069,0.373,8.59511126833017e-06
"AGP12",5.07421127918582e-10,3.16940272889189,0.31,0.054,9.05848197560252e-06
"AT5G27850",5.67903266397462e-10,-1.42943372310129,0.31,0.622,1.01382091117275e-05
"AT4G27090",7.87673072407679e-10,-1.30123624866677,0.359,0.676,1.40615396886219e-05
"GAMMA-TIP",7.98882334769504e-10,3.87000278762354,0.303,0.059,1.42616474403052e-05
"AT5G03850",8.18727396432566e-10,-1.63812954873069,0.186,0.497,1.46159214811142e-05
"RP1",8.21961986846068e-10,-1.31844708288962,0.366,0.665,1.4673665389176e-05
"AT2G41800",9.81192566174644e-10,-9.13944028773848,0,0.227,1.75162496913497e-05
"AT5G07090",9.92306918579211e-10,-2.07004645605379,0.152,0.454,1.77146631104761e-05
"AGP14",1.0135018392336e-09,9.62185301003699,0.186,0,1.80930348339983e-05
"AT5G19440",1.17206776288103e-09,-1.78774784011846,0.117,0.438,2.09237537029521e-05
"AT3G60245",1.37782443793953e-09,-1.44488834230672,0.352,0.627,2.45969218660964e-05
"AT3G02080",1.47014432388737e-09,-2.64369300389773,0.124,0.416,2.62450164700373e-05
"EXPA14",1.75200052684283e-09,-1.40637919734578,0.048,0.319,3.12767134051983e-05
"AT3G53740",2.00123965991818e-09,-1.26202374366523,0.262,0.573,3.57261304088593e-05
"HSC70-1",2.06569618808216e-09,-0.948154755301315,0.552,0.811,3.68768083496427e-05
"AT5G16130",2.11281784562416e-09,-1.56645940628179,0.255,0.568,3.77180241800825e-05
"RPL23AA",2.24200611543257e-09,-1.81456767758163,0.228,0.519,4.00242931727022e-05
"AGP21",2.47067450522214e-09,5.69978413794355,0.193,0.005,4.41064812672257e-05
"PIP1B",2.69654807803479e-09,2.32303692129656,0.552,0.303,4.81387762890771e-05
"ATL5",3.21771576947866e-09,-2.00590339020554,0.179,0.47,5.7442661916733e-05
"GLL22",3.38340540225443e-09,-1.01324512079433,0.083,0.378,6.04005532410461e-05
"AT5G58420",3.50747810047835e-09,-1.49344539724053,0.221,0.524,6.26154990497396e-05
"GASA4",3.93297333125332e-09,1.68703981628412,0.655,0.503,7.02114399095343e-05
"BIM1",4.88835481502697e-09,3.31274730411219,0.241,0.027,8.72669101578615e-05
"AT3G57010",6.79065818873289e-09,2.62686560563372,0.317,0.076,0.00012122682998526
"DI21",7.97157930578092e-09,-2.69566409710994,0.103,0.373,0.000142308633766801
"RPS15",9.40607181793132e-09,-1.33596811103684,0.207,0.514,0.00016791719409371
"PBP1",9.52076626939555e-09,-1.54804578408265,0.069,0.341,0.000169964719441249
"AT5G24580",9.83213435662479e-09,5.74859739002925,0.193,0.011,0.000175523262534466
"AT3G24830",1.24164054141774e-08,-1.82814754029782,0.221,0.486,0.000221657669453895
"emb2386",1.42842472827018e-08,-1.17329440367796,0.448,0.692,0.000255002382490792
"AT2G29500",2.30058218578003e-08,-1.69424190473795,0.124,0.395,0.00041069993180545
"PIP3",2.35518463263099e-08,2.33535982240421,0.517,0.281,0.000420447560617284
"EXT3",2.53995105368766e-08,1.6574937254399,0.821,0.595,0.000453432062104321
"GPAT3",3.41799362380567e-08,-8.7245189159813,0,0.189,0.000610180221721789
"AT5G15200",3.6561472988861e-08,-0.832769345096511,0.366,0.649,0.000652695415797147
"AT4G34670",3.94922652005286e-08,-1.62505454228652,0.234,0.508,0.000705015918359837
"AT2G33370",4.40025094287933e-08,-1.86242673750887,0.097,0.357,0.000785532798322819
"AT1G09690",4.78063219019076e-08,-1.8425114614418,0.172,0.427,0.000853438458592854
"GR-RBP2",5.58594554150939e-08,-2.80805209291021,0.097,0.341,0.000997202998070257
"NRP1",5.90394659402299e-08,-3.87390176872422,0.021,0.227,0.00105397254596498
"AT3G23390",8.28343954853264e-08,-1.51113156567908,0.152,0.411,0.00147875962820405
"AT1G77940",1.02937974985951e-07,-1.32406108441443,0.2,0.481,0.00183764872944921
"ABCB19",1.13741645155427e-07,2.07736441487515,0.428,0.195,0.00203051584931468
"AT3G56020",1.16293934103269e-07,-1.67132606706547,0.228,0.476,0.00207607931161155
"EMB1080",1.23841421528774e-07,-1.42857406590288,0.283,0.541,0.00221081705713167
"AT2G41810",1.2822190559479e-07,-1.52284556596311,0.021,0.227,0.00228901745867819
"AGP9",1.30132104264466e-07,1.21618122710245,0.676,0.535,0.00232311832532925
"AT2G25980",1.39407284196149e-07,-2.45416325959024,0.028,0.238,0.00248869883746965
"AT5G60390",1.46331697508859e-07,-0.857077836141345,0.572,0.805,0.00261231346392815
