"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EXT3",5.42148693907119e-21,12.97499248126,0.821,0,9.67843848362988e-17
"CAB1",5.77082565844357e-13,-8.47097856606744,0.014,0.368,1.03020779654535e-08
"CAT3",2.42362240549873e-12,-8.77685110867114,0.007,0.333,4.32665071829633e-08
"RGP2",1.65372715886552e-11,3.60330049125211,0.572,0.018,2.95223372400673e-07
"GAPC1",2.83516066081697e-11,9.92689733688155,0.524,0,5.06132881169045e-07
"RHM1",4.97627194352795e-10,9.57858698820154,0.476,0,8.8836406735861e-06
"GAPC2",1.64579506155047e-09,2.17982027305896,0.6,0.07,2.9380733438799e-05
"UCC2",3.44533084946612e-09,10.1373689616125,0.441,0,6.15060463246692e-05
"ACO2",7.19497964103825e-09,-5.43888842276486,0.152,0.474,0.000128444776551815
"LHB1B2",1.3791395467917e-08,-11.3543078142737,0,0.211,0.000246203991893255
"FBA8",1.38370958927614e-08,2.75421136254969,0.49,0.035,0.000247019835877576
"RGP1",1.52036651931974e-08,9.06727226220433,0.414,0,0.000271415831028961
"LCR69",2.99761842422911e-08,-7.07366540804819,0.021,0.263,0.000535134841093381
"TRX3",3.69770050760848e-08,1.79679443223259,0.51,0.053,0.000660113494618266
"HMG1",4.46757766419278e-08,8.79385888031398,0.393,0,0.000797551964611695
"c-NAD-MDH1",5.54533160628506e-08,2.96783814577746,0.428,0.018,0.00098995259835401
"AGP7",5.75156604610616e-08,2.98035398511663,0.428,0.018,0.00102676957055087
"AILP1",5.94843381606552e-08,-11.1280874173155,0,0.193,0.00106191440484402
"HSC70-1",1.81832950585892e-07,1.47310895843555,0.552,0.088,0.00324608183385935
"cICDH",2.1082687790449e-07,1.95424191039463,0.441,0.035,0.00376368142435096
"AGP4",2.24055121524722e-07,1.65207825642717,0.538,0.088,0.00399983202945934
"ATHSP22.0",3.44665720129963e-07,1.05245166394473,0.538,0.088,0.0061529724357601
"FBR12",3.53820479640974e-07,2.15462808702092,0.428,0.035,0.00631640320255067
"ARFA1D",4.30286486703179e-07,2.75001055476721,0.421,0.035,0.00768147436062515
"LHCB3",4.35925420243406e-07,-5.62608274518895,0.007,0.193,0.00778214060218529
"TT4",4.94000710537015e-07,9.1573630363272,0.345,0,0.00881890068450679
"HA2",4.98063269736558e-07,1.48618315835328,0.49,0.07,0.00889142549133704
"AT5G59613",5.10098191628573e-07,2.50406189976851,0.421,0.035,0.00910627291695328
"GSTF8",6.67286178182558e-07,1.82351893069888,0.448,0.053,0.011912392852915
"VHA-A",6.87833581651317e-07,8.78453511814533,0.338,0,0.0122792050996393
"AT5G47030",8.69570782322255e-07,3.20035176146346,0.372,0.018,0.0155235776060169
"AT4G31340",9.16192246128523e-07,2.4829116317474,0.372,0.018,0.0163558639778864
"EXPA9",9.54889812953052e-07,9.09858319242176,0.331,0,0.0170466929408379
"PSBO1",1.07386729457233e-06,-10.5762056928106,0,0.158,0.0191706789427052
"ENODL17",1.20427939255595e-06,2.49236785549197,0.366,0.018,0.0214987957159089
"PLAT2",1.32176194470129e-06,8.71143555135957,0.324,0,0.0235960942368075
"eEF-1Bb1",1.52098746050268e-06,1.84927928291774,0.4,0.035,0.0271526681448938
"emb2171",1.52098746050268e-06,1.94661996360005,0.4,0.035,0.0271526681448938
"ATMS1",1.66890515491802e-06,1.1987419673548,0.697,0.246,0.0297932948255966
"ACT8",1.77350764851429e-06,2.09946367573839,0.393,0.035,0.0316606585412772
"CESA1",1.86368534365138e-06,2.4351264461184,0.393,0.035,0.0332705107548644
"SHM4",1.90067698139515e-06,0.740683421414834,0.469,0.07,0.0339308854718662
"AXS2",2.14263501139916e-06,1.72686821375306,0.428,0.053,0.0382503202234977
"DWF1",2.19732500788105e-06,1.14555915829717,0.393,0.035,0.0392266460406925
"DRT100",2.28952880116819e-06,2.95970056923522,0.352,0.018,0.0408726681584545
"AT3G53990",2.51073609068779e-06,8.60149004548797,0.31,0,0.0448216606909584
"AT1G76670",2.51077585569455e-06,8.31551823957294,0.31,0,0.0448223705758591
"AT4G37830",3.44584003344809e-06,8.66382165716331,0.303,0,0.0615151362771153
"AT2G21160",3.5910763960644e-06,0.909694119423477,0.421,0.053,0.0641078958225417
"TUF",3.98455677721203e-06,1.26336629376045,0.379,0.035,0.0711323075867892
"IPP2",4.31107164936829e-06,1.34243920619129,0.414,0.053,0.0769612510845227
"AT4G24820",4.45089158100507e-06,2.81710319117954,0.338,0.018,0.0794573165041026
"LHCA3",4.50300695408923e-06,-10.6141956352636,0,0.14,0.0803876801444009
"PAB2",4.71603825439564e-06,8.36380307811576,0.297,0,0.084190714917471
"CEV1",5.0864364398677e-06,1.48303628656558,0.407,0.053,0.0908030633245182
"SAHH2",5.44758126730367e-06,0.946774734839336,0.476,0.088,0.0972502207839051
"VHA-C3",5.97343142383257e-06,2.53032130449066,0.331,0.018,0.106637697778259
"RPS15A",6.43681618275266e-06,8.0309234893358,0.29,0,0.1149100424945
"PGM3",6.43681618275266e-06,8.37724289511789,0.29,0,0.1149100424945
"COR47",6.92079193162168e-06,1.07303847057607,0.51,0.105,0.12354997756331
"UBQ1",7.37998143041019e-06,1.21369412334891,0.366,0.035,0.131747428495683
"COB",8.26790437692586e-06,2.46936567518504,0.324,0.018,0.14759862893688
"MT2B",8.33749624508878e-06,-5.3519688843318,0.055,0.263,0.148840982967325
"RCI2B",8.40720940403262e-06,2.06810076937453,0.324,0.018,0.15008550228079
"bZIP2",8.76166333700969e-06,8.63232317486913,0.283,0,0.156413213892297
"AT4G33865",8.76179693598228e-06,7.97177771936158,0.283,0,0.156415598901156
"UNE5",9.23595023537856e-06,1.53856966652931,0.359,0.035,0.164880183601978
"AAC1",9.3205637858099e-06,1.00703010923017,0.531,0.123,0.166390704704278
"AT5G39570",9.52182315843995e-06,1.57871406742363,0.393,0.053,0.16998358702447
"TUB6",9.53483481239284e-06,1.69219892535172,0.359,0.035,0.170215871070837
"SAM1",9.68772035892911e-06,1.42531244367115,0.359,0.035,0.172945183847602
"AT1G52300",9.68772035892911e-06,1.8354489707875,0.359,0.035,0.172945183847602
"SAM-2",9.68772035892911e-06,1.67772214731706,0.359,0.035,0.172945183847602
"TUA4",9.76658133797325e-06,0.845874298867414,0.503,0.105,0.174353010045498
"TUB2",1.02015341432626e-05,1.54610617738517,0.393,0.053,0.182117787525524
"C4H",1.06756893353077e-05,2.95811572990817,0.317,0.018,0.190582406013913
"ARFA1E",1.10370196358513e-05,2.27679481079968,0.317,0.018,0.197032874539217
"AT1G76200",1.12220345754201e-05,1.65018257596937,0.317,0.018,0.2003357612404
"AT2G34300",1.12220345754201e-05,2.00199272257319,0.317,0.018,0.2003357612404
"AT1G19450",1.18948904852487e-05,8.40211509902761,0.276,0,0.212347584942659
"PMM",1.18948904852487e-05,7.83832015970662,0.276,0,0.212347584942659
"MTHFR1",1.18948904852487e-05,8.14523226592766,0.276,0,0.212347584942659
"AT5G21020",1.18948904852487e-05,8.24788948573518,0.276,0,0.212347584942659
"ABCB19",1.32851939575177e-05,0.734605495933994,0.428,0.07,0.237167282529606
"AT2G27710",1.35133884229466e-05,1.42046716381453,0.352,0.035,0.241241010126443
"ANNAT1",1.35272784591719e-05,3.42276362557193,0.31,0.018,0.241488975053137
"NDPK3",1.37535780606007e-05,3.28536089356579,0.31,0.018,0.245528875537844
"AT5G08670",1.37730826233665e-05,0.999199166392499,0.49,0.105,0.245877070992339
"LOS2",1.43668838152445e-05,1.04906895025612,0.386,0.053,0.256477609869745
"CRT1a",1.46930834671721e-05,1.07209981322813,0.421,0.07,0.262300926055956
"AT1G70780",1.49414947295499e-05,2.35920146711909,0.31,0.018,0.266735563911925
