"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DI21",3.6570575894343e-17,-4.09690627353078,0.049,0.988,6.52857920865812e-13
"AT4G31290",2.16175979210568e-14,-3.20873219566854,0.073,0.938,3.85917358086707e-10
"AT2G31390",5.31202082548535e-14,-7.74823837188126,0,0.79,9.48301957765645e-10
"HSC70-1",3.23303126344992e-13,-1.64482042466704,0.512,1,5.7716074115108e-09
"TRX3",3.66800474930854e-13,-2.24442269297532,0.073,0.926,6.54812207846561e-09
"AT2G44120",3.88208140973287e-13,-4.36340663408076,0.024,0.802,6.93029173265512e-09
"AT3G56880",1.37612476549117e-12,-2.54959161872206,0.024,0.79,2.45665793135484e-08
"AFO",2.48146819230932e-12,10.4297672867555,0.512,0,4.42991701691059e-08
"NOP10",2.5024273420863e-12,-3.24048558582561,0.049,0.827,4.46733329109245e-08
"P5CR",3.11173105200439e-12,-2.87625742646243,0.098,0.889,5.55506227403824e-08
"RPS18C",3.459475674626e-12,-2.5455746255139,0.073,0.877,6.17585597434234e-08
"ATG2.1",4.45244645744424e-12,-3.12005838651564,0.049,0.815,7.94850741582945e-08
"LCR69",5.27000521872282e-12,7.47584000639486,0.585,0.049,9.40801331646397e-08
"GRP4",6.12766360286009e-12,-2.99496930828812,0.049,0.815,1.09391050638258e-07
"AT5G59850",8.09001423299901e-12,-1.82005625017226,0.122,0.951,1.44422934087498e-07
"AT3G14600",9.4699148213598e-12,-2.07010058078862,0.171,0.975,1.69056919390915e-07
"PDF1",1.00464069992941e-11,10.7769441408993,0.488,0,1.79348457751397e-07
"AT1G74050",1.03252203974041e-11,-2.63360899977184,0.073,0.852,1.84325834534458e-07
"AT1G09590",1.20790128101375e-11,-1.79910746605249,0.098,0.901,2.15634536686574e-07
"AT1G22190",1.20852349212988e-11,-7.1975692972557,0,0.691,2.15745613815026e-07
"AT2G17360",1.52539040643014e-11,-2.14935495656896,0.195,0.988,2.72312695355909e-07
"AT2G36160",1.65166331204234e-11,-1.71382039113599,0.146,0.963,2.94854934465798e-07
"cICDH",1.70977928306715e-11,-1.80003619152154,0.073,0.852,3.05229797613147e-07
"AT3G02080",1.98712411615958e-11,-1.86822655389405,0.098,0.901,3.54741397216808e-07
"FAD3",2.27534184298545e-11,-7.25582233150934,0,0.679,4.06194025809762e-07
"AT5G02450",2.39255706748115e-11,-1.94447518687103,0.146,0.988,4.27119287686735e-07
"AT5G02960",2.57356346609952e-11,-1.6870912365094,0.317,1,4.59432549968086e-07
"RPS11-BETA",2.89232115133736e-11,-2.04274372409843,0.122,0.926,5.16337171936746e-07
"AT2G29500",3.22300266249017e-11,-2.58814347939972,0.073,0.827,5.75370435307745e-07
"THI1",4.57702057129346e-11,8.49213647013473,0.488,0.012,8.17089712387308e-07
"AT5G27850",5.22088786868966e-11,-1.84636671407779,0.195,0.963,9.32032902318478e-07
"CDPK6",7.23424049146434e-11,-1.17868299590853,0.098,0.889,1.29145661253621e-06
"AT3G03920",9.78573110972487e-11,-1.67144281110561,0.171,0.963,1.74694871770808e-06
"AT1G11670",1.10972692717573e-10,-3.6607240140613,0.024,0.704,1.98108451039411e-06
"AT4G36130",1.21471886288472e-10,-1.73201578239079,0.073,0.815,2.16851611402179e-06
"AT4G33865",1.28479571921024e-10,-1.90513970094193,0.122,0.901,2.29361731793412e-06
"AT3G01790",1.49830669239872e-10,-2.31368793434981,0.049,0.753,2.67477710727019e-06
"AT5G23900",1.51814294093202e-10,-1.51170099188604,0.073,0.815,2.71018877815183e-06
"AT5G27120",1.54928282217279e-10,-1.60123634142615,0.098,0.852,2.76577969414286e-06
"AT4G02230",1.55588401836829e-10,-2.53254031986158,0.049,0.753,2.77756414959107e-06
"HIT3",1.9019827028457e-10,-1.80017284846026,0.073,0.802,3.39541952112014e-06
"ALDH7B4",2.01269088272962e-10,-2.5206885399055,0.049,0.741,3.59305576384892e-06
"RP1",2.07824532388527e-10,-1.33776120907233,0.512,1,3.71008355219998e-06
"AT5G27700",2.14154910404865e-10,-1.12858212323047,0.098,0.864,3.82309346054766e-06
"AT4G27090",2.25078916236751e-10,-1.21890603860502,0.61,1,4.01810881265848e-06
"AT1G77940",2.2580734866257e-10,-1.6143081353185,0.195,0.988,4.03111278832421e-06
"ERD10",2.42792277795013e-10,-2.37008502942815,0.049,0.741,4.33432774319657e-06
"EXPA9",2.59937156991519e-10,-7.32780042857312,0,0.63,4.6403981266126e-06
"AT5G08690",2.6381571076003e-10,-2.02788325246026,0.146,0.901,4.70963806848805e-06
"AT2G21160",3.27213204096344e-10,-1.66682450052383,0.049,0.741,5.84141011952793e-06
"AT1G74270",3.65327181824665e-10,-3.46091726626137,0.024,0.679,6.52182084993392e-06
"AT3G44010",3.83763506403172e-10,-1.79902332069408,0.195,0.988,6.85094611630942e-06
"AT1G57720",4.12778050340732e-10,-1.01835068835504,0.098,0.852,7.36891375468275e-06
"FAD2",4.291522834058e-10,-1.73647026934547,0.098,0.84,7.66122656336035e-06
"AT1G20220",5.86570003080548e-10,-1.97214815360003,0.049,0.728,1.04714476949939e-05
"AT1G52930",5.86570003080548e-10,-1.44580549242806,0.049,0.728,1.04714476949939e-05
"IPP2",6.29921268701262e-10,-2.42561147990958,0.073,0.765,1.12453544888549e-05
"GSTF8",6.339322629733e-10,-2.05273306000467,0.098,0.815,1.13169587585994e-05
"AT3G56340",6.92126339712216e-10,-1.41039172704952,0.171,0.963,1.23558394165425e-05
"SEC61 BETA",6.96831966504702e-10,-1.40686482873525,0.049,0.716,1.24398442660419e-05
"ATL5",7.72122578790458e-10,-1.8200117230818,0.244,0.975,1.37839322765672e-05
"ACP2",8.27028727387356e-10,-1.47799053985836,0.122,0.877,1.47641168413191e-05
"NUDT21",8.31456658288393e-10,-7.51825514882983,0,0.605,1.48431642637644e-05
"AT1G70780",9.05545638547853e-10,-1.54486453865713,0.171,0.975,1.61658007393563e-05
"AT3G62870",9.09147432863369e-10,-1.27973315773902,0.512,1,1.62300999714769e-05
"AT5G02050",1.07646500073538e-09,-3.60678319320449,0.024,0.654,1.92170531931279e-05
"GSR 1",1.07646500073538e-09,-3.72988751224379,0.024,0.654,1.92170531931279e-05
"AT2G40510",1.18192959540522e-09,-1.51458286026352,0.073,0.765,2.1099807137174e-05
