"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGP31",6.77730090076178e-59,4.62100314003472,0.585,0.012,1.20988375680399e-54
"AN3",2.45331804090837e-43,4.36178142788472,0.39,0.005,4.37966336662963e-39
"AFO",3.96572798682131e-42,3.46040867496296,0.512,0.019,7.0796176020734e-38
"AT4G29030",7.2653138122077e-41,4.46315787511771,0.39,0.007,1.29700382175532e-36
"AT2G28790",1.60563641920932e-39,5.45220280144579,0.317,0.002,2.86638213557248e-35
"3xHMG-box2",9.22812857342797e-38,3.73464197048769,0.366,0.007,1.64740551292836e-33
"GRF5",2.07635808989641e-33,4.55482310884367,0.293,0.003,3.70671446208308e-29
"CYP78A5",3.96322722144464e-33,5.54522708884172,0.268,0.002,7.07515323572297e-29
"AT3G08520",1.79212358940429e-32,2.64405650071627,0.488,0.027,3.19929903180454e-28
"ANT",4.52854172847974e-30,11.6199073128786,0.22,0,8.08435269368204e-26
"LTP6",5.70918466187889e-30,6.07492844352781,0.244,0.002,1.01920364583862e-25
"HSP81-2",7.81242920165065e-30,2.87685686249121,0.415,0.021,1.39467486107867e-25
"NUC-L1",1.99842776250511e-29,2.34957953741277,0.683,0.072,3.56759324162412e-25
"ERL2",1.10493898273324e-28,3.33000028262002,0.293,0.007,1.97253707197538e-24
"AT3G04920",1.44216425234089e-28,2.89787282016792,0.39,0.019,2.57455162327896e-24
"AT1G07820",6.76882805231717e-28,4.67690454969199,0.268,0.005,1.20837118389966e-23
"PDF1",2.12905090322983e-26,2.56759888513398,0.488,0.039,3.8007816724459e-22
"AT4G15000",4.06490805870322e-26,2.61977963725873,0.39,0.022,7.25667386639699e-22
"AT4G27090",3.07269019216957e-25,1.55671754842782,0.61,0.065,5.48536653106111e-21
"AT3G16780",1.07060313161842e-24,2.34340758715335,0.317,0.014,1.91124071056521e-20
"BBC1",1.54485851467202e-24,1.96185333315495,0.585,0.063,2.75788142039249e-20
"AT1G25260",4.25495243909084e-24,4.40470705984798,0.22,0.003,7.59594109426498e-20
"AT1G55200",4.25495243909084e-24,4.13443130526119,0.22,0.003,7.59594109426498e-20
"AT1G26880",6.82678030504616e-24,1.74475763393054,0.439,0.034,1.21871682005684e-19
"AT1G62500",1.11328103186883e-23,11.1212436652448,0.171,0,1.98742929809224e-19
"AT2G39870",1.11328103186883e-23,11.5955855158953,0.171,0,1.98742929809224e-19
"SmD3",1.23648110096335e-23,4.88349858947254,0.195,0.002,2.20736606143978e-19
"AT5G48360",1.23648110096335e-23,4.31613104247112,0.195,0.002,2.20736606143978e-19
"RIP1",1.30811130917187e-23,3.31664301469229,0.293,0.012,2.33524030913362e-19
"P40",1.3495222884202e-23,1.63268336807756,0.634,0.077,2.40916718928774e-19
"AT5G56670",2.3685552982008e-23,2.53506293226742,0.317,0.015,4.22834491834807e-19
"La1",7.69950984894898e-23,3.3847924341768,0.244,0.007,1.37451649823437e-18
"HTB2",7.69950984894898e-23,3.41775107617138,0.244,0.007,1.37451649823437e-18
"AT4G17390",3.55094768357405e-22,1.56145596950457,0.537,0.058,6.33915180471639e-18
"AT3G62870",3.65003444421392e-22,1.59762108251801,0.512,0.053,6.51604148981068e-18
"MAP65-1",7.38317738860163e-22,3.58102681568476,0.22,0.005,1.31804482741316e-17
"EMB1080",1.52482359074025e-21,1.47710677391288,0.488,0.05,2.72211507418949e-17
"AT5G61170",4.21647680869468e-21,1.92627523293992,0.488,0.051,7.52725439888175e-17
"HVA22D",4.81092718642389e-21,4.54463776579557,0.195,0.003,8.58846721320392e-17
"AT3G56020",4.84624339879283e-21,1.8000939741022,0.439,0.041,8.65151371552497e-17
"PIP1%3B4",7.47279350642445e-21,2.35503112803084,0.366,0.027,1.33404309676689e-16
"MCM2",1.61658976538156e-20,5.39850881364158,0.171,0.002,2.88593604915915e-16
"ICR1",1.68785926253122e-20,4.8663955241039,0.171,0.002,3.01316635547074e-16
"HTA11",1.68785926253122e-20,5.3534716059341,0.171,0.002,3.01316635547074e-16
"EXPA15",1.70891200085548e-20,11.2088472274482,0.146,0,3.05074970392721e-16
"CKS2",1.70891200085548e-20,11.0105467949011,0.146,0,3.05074970392721e-16
"HMGB6",1.70891200085548e-20,10.68392831362,0.146,0,3.05074970392721e-16
"AT5G07090",2.08316743020144e-20,1.55393012887333,0.439,0.043,3.71887049639561e-16
"AT3G60770",2.16424157970124e-20,1.88671894515352,0.439,0.043,3.86360406808266e-16
"HSC70-1",5.38979719868219e-20,1.56868863952414,0.512,0.06,9.62186595908744e-16
"AT5G35530",5.59795726909213e-20,3.72008261080627,0.22,0.007,9.99347331678327e-16
"TUB7",5.78859477124471e-20,3.04104527461188,0.22,0.007,1.03337993856261e-15
"GAMMA-H2AX",5.78869332048072e-20,2.90276827550878,0.22,0.007,1.03339753157222e-15
"NAP1%3B1",5.78869332048072e-20,3.4874323090255,0.22,0.007,1.03339753157222e-15
"AT5G28060",1.1647998746161e-19,1.57637729609661,0.415,0.039,2.07940073616465e-15
"AT5G52650",3.54808400540134e-19,1.93950743769641,0.366,0.031,6.33403956644247e-15
"AT5G47930",3.83025765089889e-19,1.9327750438253,0.39,0.036,6.83777595838471e-15
"AT2G27710",5.63790917551086e-19,1.53744926402152,0.537,0.07,1.0064795460122e-14
"GATA17",6.3265984332188e-19,3.40522569999276,0.195,0.005,1.12942435229822e-14
"GRP2",9.88824814834416e-19,1.91740042375847,0.341,0.027,1.7652500594424e-14
"AT5G60390",1.57596874006389e-18,1.37255990811968,0.854,0.166,2.81341939476206e-14
"AT1G51980",2.21550756208823e-18,3.14533200601606,0.22,0.009,3.95512409983991e-14
"AT3G61310",2.35673624441251e-18,2.86427041358963,0.22,0.009,4.20724554352521e-14
