"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT3G49910",6.10958421670206e-26,-1.56556465795457,0.05,0.31,1.09068297436565e-21
"AT5G21020",1.18211750393567e-20,-1.08325427643645,0.079,0.331,2.11031616802596e-16
"FSD1",1.63826687542465e-20,-0.797549256590678,0.144,0.463,2.92463402600808e-16
"PORA",3.89051112107368e-20,-1.33455487460978,0.045,0.253,6.94534045334074e-16
"RPL12-C",1.06538448748933e-19,-1.23661444766865,0.079,0.319,1.90192438706596e-15
"emb2171",1.30517072828887e-19,-0.985058477775655,0.096,0.357,2.32999078414128e-15
"AT4G27090",5.62618027034504e-19,-1.08268917942476,0.065,0.288,1.004385701862e-14
"AT3G62870",1.05788889991753e-18,-1.41413631107885,0.053,0.26,1.88854326413278e-14
"MLS",2.37310611022145e-18,-0.719806076257514,0.115,0.383,4.23646902796733e-14
"ICL",9.58298809617346e-18,-0.671228949235521,0.271,0.619,1.71075503492889e-13
"CP29",1.16702316402667e-17,-0.556580600628388,0.192,0.52,2.08336975242041e-13
"CPN60B",1.17503698727748e-17,-0.742272496173762,0.13,0.407,2.09767602968776e-13
"NUC-L1",1.7451700470995e-17,-1.10203892273799,0.072,0.288,3.11547756808203e-13
"AT2G27720",1.82552186358581e-17,-1.2356849374803,0.05,0.243,3.25892163087339e-13
"AT3G60245",9.35462669132589e-17,-1.01761015382233,0.067,0.272,1.6699879569355e-12
"PCK1",2.70887228829398e-16,-0.537558693567338,0.216,0.548,4.83587880906241e-12
"AT3G08520",2.75188517094674e-16,-1.54832447126389,0.027,0.184,4.91266540717412e-12
"AT5G56710",6.80798711024377e-16,-1.57190490804149,0.033,0.191,1.21536185892072e-11
"BBC1",1.44607547420074e-15,-1.00177072592797,0.063,0.255,2.58153393654317e-11
"UBQ5",1.86662790988921e-15,-0.799094149893202,0.048,0.225,3.33230414473421e-11
"AT5G60390",2.70774617965837e-15,-0.485339499584309,0.166,0.454,4.83386847992613e-11
"AT2G47780",4.22513848975539e-15,-1.14118077333111,0.048,0.22,7.54271723191131e-11
"Cpn60beta2",5.05051087191783e-15,-0.62371636045336,0.146,0.411,9.01617200854772e-11
"AT4G15000",6.59348573192094e-15,-1.7294101762523,0.022,0.161,1.17706907286253e-10
"AT2G37190",9.63548281042098e-15,-1.45049770004879,0.031,0.18,1.72012639131635e-10
"AT5G02960",1.47388076113326e-14,-1.00812022126694,0.055,0.229,2.6311719347751e-10
"AT3G22230",1.51272264106759e-14,-1.44994370583073,0.031,0.177,2.70051245883386e-10
"AT1G52300",2.94832111459652e-14,-0.798775912249108,0.074,0.267,5.26334285377771e-10
"RPS17",3.42627920257454e-14,-1.02391101855148,0.055,0.227,6.11659363243606e-10
"AT3G09200",5.28966533670875e-14,-0.710183641187943,0.072,0.26,9.44311055909245e-10
"ALB3",7.68606239029349e-14,-1.07607006650469,0.058,0.229,1.37211585791519e-09
"CHL-CPN10",1.077966850665e-13,-1.32779982283585,0.033,0.175,1.92438642180716e-09
"CAB1",1.12040938476145e-13,1.20362575735059,0.623,0.622,2.00015483367613e-09
"AT4G39200",1.95279127587444e-13,-0.637340313087756,0.082,0.277,3.48612298569105e-09
"AT5G19510",2.09613534432029e-13,-0.941879984015008,0.038,0.184,3.74202081668057e-09
