"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGP12",3.9947306183931e-33,-4.41781240356586,0.015,0.368,7.13139309995535e-29
"ACO2",3.70290443925943e-23,-3.01075996423282,0.062,0.474,6.61042500496593e-19
"AT3G05900",8.9351990387263e-20,-12.7906062862382,0,0.14,1.59511173239342e-15
"AT1G12080",1.0350856884678e-19,-7.17162697394477,0.002,0.158,1.84783497105271e-15
"WAT1",1.06883538357061e-19,-6.71238158988168,0.002,0.158,1.90808492675025e-15
"LCR68",3.64485383538717e-16,-3.75919587014737,0.017,0.228,6.50679306693317e-12
"PATL1",4.98186715723278e-16,-4.99058281159258,0.005,0.158,8.89362924909196e-12
"XYP2",3.57589904778832e-15,-12.2665836470032,0,0.105,6.38369498011171e-11
"AT3G12710",3.57589904778832e-15,-12.0500106846931,0,0.105,6.38369498011171e-11
"AT1G62480",1.62781211136343e-14,-3.90509917386327,0.007,0.158,2.905970181206e-10
"LAX3",8.07803803869427e-13,-5.3449704462717,0.002,0.105,1.4420913506677e-08
"AGP15",2.71773812290503e-12,-3.24161269670911,0.022,0.211,4.85170609701006e-08
"RBCS1A",6.7178446173057e-12,2.96099322168409,0.622,0.123,1.19926962108141e-07
"AT2G04850",4.70773602495035e-11,-4.32415219479811,0.003,0.105,8.40425035174137e-07
"TUB8",1.27023045311542e-10,-4.38148179258807,0.007,0.123,2.26761540490164e-06
"SIP3",2.2001366487873e-10,-3.11343178346663,0.029,0.211,3.92768394541509e-06
"MT2B",6.5088760732199e-10,-2.37727725876635,0.048,0.263,1.16196455659122e-05
"PMEPCRA",1.01309045756954e-09,-4.00496080909529,0.005,0.105,1.80856908485315e-05
"AGP31",1.09352050070643e-09,-3.3746021116356,0.012,0.14,1.95215279786112e-05
"ATAUX2-11",1.11427296703991e-08,-2.76227610595213,0.019,0.158,0.000198920010075964
"RBCS3B",1.2826808971559e-08,4.2800009157785,0.432,0.035,0.000228984193760272
"AGP21",3.28321270134281e-08,-2.80938174691017,0.021,0.158,0.000586119131443719
"AT5G07030",5.0304019902132e-08,-3.27248837753296,0.012,0.123,0.000898027363292861
"PIP3",5.98871696559812e-08,-1.86073395661245,0.13,0.386,0.00106910575269858
"AT3G54400",1.62103814685675e-07,-3.39242428676487,0.024,0.158,0.00289387729976867
"GASA4",2.35268699971816e-07,-2.05217074624057,0.08,0.298,0.00420001683189686
"MT3",2.79356615885346e-07,-2.49785929459564,0.019,0.14,0.00498707430678521
"AT5G14920",2.85096650557647e-07,-2.72252059528674,0.019,0.14,0.00508954540575511
"GER3",3.12282149620849e-07,5.32941226003099,0.353,0.018,0.0055748609350314
"CYP98A3",4.58213482814138e-07,-3.36591647085345,0.01,0.105,0.00818002709519799
"IAA9",1.10103996205959e-06,-2.16929051622544,0.021,0.14,0.0196557654026878
"AGP9",1.34635466899645e-06,-1.98316697032183,0.046,0.211,0.0240351235509246
"AT1G55360",1.90678163008684e-06,-3.0317178901651,0.012,0.105,0.0340398656603103
"CAT3",2.02960522912848e-06,-1.7341776469364,0.111,0.333,0.0362325125504016
"AT3G49910",2.16119910771513e-06,-2.40214087971789,0.05,0.211,0.0385817264709306
"HOL1",4.58601490883866e-06,-2.22746898620487,0.038,0.175,0.0818695381525878
"DELTA-TIP",7.17804070779065e-06,-2.70219541623196,0.014,0.105,0.128142382715479
"GRP7",1.75793030468483e-05,-0.817952408847047,0.553,0.772,0.313825717992335
"CCoAOMT1",1.77941876875413e-05,-2.60638012373859,0.015,0.105,0.317661838597988
"AT2G10940",1.89831637794798e-05,3.40390171598971,0.308,0.035,0.338887439791274
"CAB3",2.27564055953181e-05,4.05830462893814,0.293,0.035,0.406247352687619
"LHCB6",2.37385378205492e-05,10.2771806967401,0.248,0,0.423780377172444
"PIP1B",5.08500079542905e-05,-1.45389762408878,0.089,0.263,0.907774341999995
"GSTF9",5.126540829521e-05,-2.40344324038891,0.017,0.105,0.915190068886089
"CAB1",6.46305734900483e-05,1.21606120307307,0.623,0.368,1
"HOG1",8.3582823733632e-05,-1.33024428589225,0.099,0.281,1
"PSAE-1",0.000201064278184537,4.28633750019781,0.226,0.018,1
"CAB2",0.000273525488463345,2.89636041295963,0.253,0.035,1
"AT4G01150",0.000275495567559593,3.51316660719147,0.226,0.018,1
"ICL",0.000389229406514381,2.24773242801895,0.271,0.053,1
"LHCA4",0.000456272152313491,1.85320863137959,0.295,0.07,1
"PSAO",0.000505407425519286,2.94061452676781,0.236,0.035,1
"LHCA1",0.000556178669348227,1.80299156075795,0.351,0.123,1
"LHB1B2",0.000577306488412775,1.36968042163014,0.437,0.211,1
"TUA6",0.000626890434676776,-1.76828625370258,0.057,0.175,1
"PORB",0.000631476714102047,2.49938494214289,0.255,0.053,1
"GER1",0.000633390502802451,4.21083037740596,0.2,0.018,1
"ACT2",0.000736237424534292,-1.78142108511803,0.031,0.123,1
"RBCS2B",0.00092262526452224,4.18161385611577,0.192,0.018,1
"FBA2",0.00110598435803482,9.45942506785899,0.161,0,1
"GAPB",0.00118683411063225,9.55643747817424,0.159,0,1
"AT2G26500",0.0013660911648815,9.57313409296056,0.156,0,1
"PSAK",0.00140817329613876,2.77766784472631,0.228,0.053,1
"CWLP",0.00141754624506477,1.92724923064833,0.284,0.088,1
"AT3G04840",0.00148838273135632,-1.2919938577986,0.051,0.158,1
"ACT7",0.0014930616413726,-2.23777175314677,0.043,0.14,1
"AT1G07940",0.00155580122739324,-2.01078935898529,0.034,0.123,1
"PSAL",0.00165269703349996,1.93387481494493,0.281,0.088,1
"PSAF",0.00176935059430478,2.21219940296188,0.252,0.07,1
"GRF1.1",0.00191761067097355,-1.53127078574585,0.034,0.123,1
"HA1",0.00202967530878412,-1.4058768924452,0.053,0.158,1
"AT1G74470",0.00204486768407866,3.33749604314503,0.178,0.018,1
"AT5G14030",0.00232965416787881,-1.50664933922041,0.045,0.14,1
"AT2G21580",0.00235656926508048,-1.70187113022431,0.027,0.105,1
"AT1G09620",0.00262022879835999,-1.43584664836957,0.027,0.105,1
"AT1G07930",0.0026856817021594,-1.35718085201392,0.036,0.123,1
"LHCB4.1",0.00268752092096204,1.91470566935376,0.281,0.105,1
"LHCB2.2",0.00300086003689659,4.08250318099469,0.163,0.018,1
"ADS2",0.00321449666836904,-1.83674598131159,0.029,0.105,1
"AT5G09510",0.0032145033877589,-2.09114998464791,0.029,0.105,1
"PSBR",0.00377312009388046,1.53063550410527,0.286,0.105,1
"SSR16",0.0038479586161975,9.26203413212734,0.13,0,1
"AT4G01310",0.00422880813943247,3.63856794768377,0.156,0.018,1
"AT4G29390",0.00477622039410428,-1.82282310542038,0.031,0.105,1
"LHCB3",0.00485375895045091,1.24179746059426,0.375,0.193,1
"AT2G45180",0.00490275525732776,1.91639486030516,0.231,0.07,1
