"gene","cluster","avg_log2FC","pct.1","pct.2","p_val_adj"
"AGP31",0,-3.73690746597219,0.012,0.349,1.78923134821166e-47
"EXT3",0,-6.96751733303366,0.003,0.271,2.97228553154806e-37
"BGLU21",0,-10.5418885090634,0,0.137,1.65142305722663e-16
"AT2G43610",0,-10.5936242711057,0,0.131,1.55253419033015e-15
"AT1G36060",0,-10.362707652053,0,0.122,3.00343157062713e-14
"AGP4",0,-2.86019609378551,0.007,0.136,8.29283760540535e-14
"AT5G27120",0,-2.36326099414837,0.005,0.129,2.8166335208246e-13
"AT1G52930",0,-2.53729691898673,0.002,0.101,1.92273641553398e-10
"NOP10",0,-1.27607495951164,0.007,0.111,5.04828278511663e-10
"GRP4",0,-1.29622790906133,0.003,0.1,1.14481671421717e-09
"UCC2",0,-10.9025098806851,0,0.087,4.54907347053335e-09
"AGP12",0,-1.38346908899636,0.015,0.102,2.96250663821937e-06
"HDA3",0,-2.23648349832204,0.003,0.072,1.02013123072007e-05
"XYP2",0,-9.51557888910356,0,0.044,0.00500912195182312
"AGP14",0,-8.59601905376135,0,0.029,0.597502934554034
"AFO",0,-0.430094346972066,0.019,0.061,1
"EXT3",1,-5.85664959119064,0.007,0.231,5.55319486679398e-21
"AGP31",1,-2.18351159038287,0.043,0.287,2.76990370903171e-19
"AGP4",1,-10.6782784723782,0,0.12,1.84328771443079e-09
"AT2G43610",1,-9.89842202432802,0,0.112,1.49592853478599e-08
"AT1G36060",1,-9.66750540527535,0,0.104,9.44614594251152e-08
"BGLU21",1,-2.15570576147926,0.007,0.114,4.3003262595273e-07
"UCC2",1,-10.2073076339074,0,0.074,0.000159513373951383
"GRP4",1,-1.21905506259503,0.009,0.083,0.00256040821186842
"AT5G27120",1,-0.28913073756119,0.026,0.102,0.0388384389862806
"AFO",1,1.00754899944356,0.085,0.029,0.0589798947973935
"NOP10",1,-0.975050248250472,0.024,0.089,0.277187380385041
"AGP12",1,-1.34723193065642,0.024,0.086,0.390858172232786
"XYP2",1,-8.82037664232587,0,0.038,0.969397274494174
"AT1G52930",1,0.361491199460238,0.024,0.078,1
"AGP14",1,-7.90081680698365,0,0.025,1
"HDA3",1,1.09153638324042,0.021,0.055,1
"AGP31",2,3.02466784712379,0.789,0.14,2.02059369681128e-91
"BGLU21",2,4.80068626715686,0.443,0.035,1.18165905911821e-77
"AT2G43610",2,5.42249819370398,0.422,0.033,6.00745842713161e-74
"AT1G36060",2,5.24731736534675,0.373,0.034,5.4888756746289e-59
"EXT3",2,1.50830056365602,0.595,0.109,1.98372950690423e-55
"AT5G27120",2,1.42757052193036,0.173,0.068,0.00947049647590665
"AFO",2,-8.62734601757947,0,0.051,1
"NOP10",2,1.41999451548239,0.119,0.064,1
"AT1G52930",2,0.668066729862041,0.108,0.056,1
"EXT3",3,4.46784169793193,0.821,0.099,2.31698264033047e-111
"UCC2",3,7.15045687762383,0.441,0.012,5.07875480349036e-103
"AGP4",3,4.50174902664438,0.538,0.039,5.03073445111388e-90
"XYP2",3,3.74176347191861,0.234,0.005,2.79730509226426e-54
"AGP14",3,12.5114844052999,0.186,0,3.55153464271068e-54
"AGP12",3,1.50002636117403,0.31,0.043,4.86730510074595e-28
"AGP31",3,0.300712531465909,0.359,0.204,1
"AT1G36060",3,-2.55585399151438,0.007,0.082,1
"NOP10",3,-1.16572934807316,0.014,0.077,1
"AFO",3,-8.23315564721076,0,0.05,1
"GRP4",4,3.35760141501044,0.815,0.02,6.87403965133661e-172
"NOP10",4,2.92677847886714,0.827,0.028,1.69456385957796e-153
"HDA3",4,2.93494330862576,0.642,0.012,1.93110390104162e-146
"AT5G27120",4,3.0120330128135,0.852,0.038,1.04864610086032e-138
"AT1G52930",4,2.82553576806179,0.728,0.025,7.51985438016142e-133
"AT1G36060",4,1.55255254576603,0.543,0.049,9.92528204663188e-52
"AGP31",4,1.10104548854101,0.951,0.178,3.9572498313792e-42
"AT2G43610",4,0.711241515476858,0.494,0.057,1.72402043894552e-35
"BGLU21",4,0.807493798725463,0.457,0.063,7.70757396391601e-27
"AGP12",5,4.1170413791793,0.368,0.057,1.73379429387559e-17
"SIAR1",5,12.4284681511129,0.053,0,3.2831793537044e-14
"XYP2",5,4.1608911927307,0.105,0.024,1
"EXT3",5,-10.1573589433461,0,0.175,1
"AT4G29030",6,5.26231950777992,0.39,0.005,2.21185759893346e-83
"LTP6",6,7.41160312378435,0.244,0.001,7.76318258391599e-69
"CYP78A5",6,5.94313467828052,0.268,0.002,1.12876670670194e-64
"AFO",6,3.54770215789121,0.512,0.032,1.51758123400607e-43
"AGP31",6,1.59660236272212,0.585,0.209,6.06172595862783e-05
"EXT3",6,-9.66628586258078,0,0.173,1
