"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"CYP78A5",0.226189545652389,0,0
"EXT3",0.790788400483721,0,0
"AGP31",0.544909302353851,0,0
"AT1G36060",0.431793587706078,0,0
"SIAR1",0.0661798466592403,0,0
"AT1G52930",0.237797644937637,0,0
"BGLU21",0.438986640802163,0,0
"XYP2",0.298188018647046,0,0
"NOP10",0.298247572358237,0,0
"AT2G43610",0.388790051824255,0,0
"UCC2",0.433413249504861,0,0
"AFO",0.180315444957832,0,0
"LTP6",0.188666275935432,0,0
"AGP12",0.136041063093041,0,0
"GRP4",0.323392312523454,0,0
"HDA3",0.190597992709951,0,0
"AT4G29030",0.259916489003531,0,0
"AGP4",0.358669735066102,0,0
"AT5G27120",0.304360863765153,0,0
"AGP14",0.23837755930962,0,0
"NAC001",NA,NA,NA
"ARV1",NA,NA,NA
"NGA3",NA,NA,NA
"DCL1",NA,NA,NA
"PPa1",NA,NA,NA
"LHY",NA,NA,NA
"AT1G01080",NA,NA,NA
"PDH-E1 ALPHA",NA,NA,NA
"AT1G01100",NA,NA,NA
"IQD18",NA,NA,NA
"KCS1",NA,NA,NA
"CIPK9",NA,NA,NA
"GIF2",NA,NA,NA
"AT1G01170",NA,NA,NA
"AT1G01180",NA,NA,NA
"RABA3",NA,NA,NA
"AT1G01210",NA,NA,NA
"FKGP",NA,NA,NA
"AT1G01225",NA,NA,NA
"AT1G01230",NA,NA,NA
"AT1G01240",NA,NA,NA
"AT1G01260",NA,NA,NA
"CNX3",NA,NA,NA
"AT1G01300",NA,NA,NA
"AT1G01320",NA,NA,NA
"CNGC10",NA,NA,NA
"AT1G01350",NA,NA,NA
"RCAR1",NA,NA,NA
"HTR12",NA,NA,NA
"ETC1",NA,NA,NA
"AT1G01390",NA,NA,NA
"TBL25",NA,NA,NA
"AT1G01440",NA,NA,NA
"AT1G01448",NA,NA,NA
"LEA14",NA,NA,NA
"AT1G01490",NA,NA,NA
"AT1G01500",NA,NA,NA
"AN",NA,NA,NA
"ASG4",NA,NA,NA
"AT1G01540",NA,NA,NA
"BPS1",NA,NA,NA
"FRO2",NA,NA,NA
"GPAT4",NA,NA,NA
"PIP1C",NA,NA,NA
"AT1G01630",NA,NA,NA
"AT1G01640",NA,NA,NA
"SPPL4",NA,NA,NA
"PRD3",NA,NA,NA
"AT1G01710",NA,NA,NA
"AT1G01715",NA,NA,NA
"ATAF1",NA,NA,NA
"AT1G01725",NA,NA,NA
"AT1G01730",NA,NA,NA
"ADF11",NA,NA,NA
"AT1G04053",NA,NA,NA
"AT1G01760",NA,NA,NA
"PLIM2b",NA,NA,NA
"KEA1",NA,NA,NA
"AT1G01800",NA,NA,NA
"AT1G01810",NA,NA,NA
"PEX11C",NA,NA,NA
"AT1G01830",NA,NA,NA
"PFC1",NA,NA,NA
"AT1G01910",NA,NA,NA
"AT1G01920",NA,NA,NA
"AT1G01930",NA,NA,NA
"AT1G01940",NA,NA,NA
"ARK2",NA,NA,NA
"EDA10",NA,NA,NA
"AT1G01970",NA,NA,NA
"AT1G01990",NA,NA,NA
"GAE2",NA,NA,NA
"SEC1A",NA,NA,NA
"AT1G02020",NA,NA,NA
"LAP6",NA,NA,NA
"AT1G02080",NA,NA,NA
"FUS5",NA,NA,NA
"SBI1",NA,NA,NA
"AT1G02110",NA,NA,NA
"VAD1",NA,NA,NA
"RA-5",NA,NA,NA
"MAGO",NA,NA,NA
"ALG12",NA,NA,NA
"AT1G02150",NA,NA,NA
"AT1G02160",NA,NA,NA
"MC1",NA,NA,NA
"AT1G02180",NA,NA,NA
"CER1",NA,NA,NA
"NAC004",NA,NA,NA
"NAC005",NA,NA,NA
"AT1G02260",NA,NA,NA
"AT1G02270",NA,NA,NA
"TOC33",NA,NA,NA
"AT1G02290",NA,NA,NA
"AT1G02300",NA,NA,NA
"AT1G02305",NA,NA,NA
"AT1G02330",NA,NA,NA
"AT1G02360",NA,NA,NA
"AT1G02370",NA,NA,NA
"AT1G02380",NA,NA,NA
"GPAT2",NA,NA,NA
"GA2OX6",NA,NA,NA
"AT1G02410",NA,NA,NA
"AT1G02460",NA,NA,NA
"AT1G02475",NA,NA,NA
"SAM1",NA,NA,NA
"ABCB11",NA,NA,NA
"CLPP5",NA,NA,NA
"BXL2",NA,NA,NA
"TAF13",NA,NA,NA
"IMPA-6",NA,NA,NA
"GATL5",NA,NA,NA
"CSLD5",NA,NA,NA
"AT1G02740",NA,NA,NA
"AT1G02750",NA,NA,NA
"emb2386",NA,NA,NA
"CEL2",NA,NA,NA
"AT1G02810",NA,NA,NA
"AT1G02816",NA,NA,NA
"SR34",NA,NA,NA
"BGLU11",NA,NA,NA
"NLA",NA,NA,NA
"AT1G02870",NA,NA,NA
"TPK1",NA,NA,NA
"AT1G02890",NA,NA,NA
"RALF1",NA,NA,NA
"LPA1",NA,NA,NA
"GSTF6",NA,NA,NA
"AT1G02960",NA,NA,NA
"WEE1",NA,NA,NA
"CUL2",NA,NA,NA
"AT1G02990",NA,NA,NA
"PEX6",NA,NA,NA
"AT1G03030",NA,NA,NA
"AT1G03040",NA,NA,NA
"SPI",NA,NA,NA
"AT1G03070",NA,NA,NA
"NET1D",NA,NA,NA
"MCCA",NA,NA,NA
"AT1G03100",NA,NA,NA
"AT1G03106",NA,NA,NA
"TRM82",NA,NA,NA
"PSAD-2",NA,NA,NA
"AT1G03140",NA,NA,NA
"AT1G03150",NA,NA,NA
"FZL",NA,NA,NA
"AT1G03180",NA,NA,NA
"UVH6",NA,NA,NA
"AT1G03210",NA,NA,NA
"AT1G03220",NA,NA,NA
"AT1G03230",NA,NA,NA
"AT1G03250",NA,NA,NA
"AT1G03260",NA,NA,NA
"AT1G03270",NA,NA,NA
"AT1G03280",NA,NA,NA
"AT1G03290",NA,NA,NA
"ATDUF1",NA,NA,NA
"DBE1",NA,NA,NA
"LSM2",NA,NA,NA
"AT1G03340",NA,NA,NA
"AT1G03350",NA,NA,NA
"RRP4",NA,NA,NA
"AT1G03365",NA,NA,NA
