"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAB1",3.02157545247776e-55,2.13878635901429,0.623,0.327,5.3941164977633e-51,"0","CAB1"
"AGP31",1.00225820536167e-51,-3.73690746597219,0.012,0.349,1.78923134821166e-47,"0","AGP31"
"HSC70-1",2.06572369969967e-50,-1.79436148417994,0.06,0.451,3.68772994870384e-46,"0","HSC70-1"
"HOG1",9.64525149656583e-50,-1.31155209475174,0.099,0.53,1.72187029716693e-45,"0","HOG1"
"AT3G49910",1.31169424052724e-49,-1.80574132715473,0.05,0.426,2.34163655818923e-45,"0","AT3G49910"
"AT3G62870",5.67328814805238e-47,-1.72352529296573,0.053,0.418,1.01279540019031e-42,"0","AT3G62870"
"AT4G27090",2.13583443548067e-46,-1.46275408843416,0.065,0.441,3.8128916342201e-42,"0","AT4G27090"
"BBC1",1.53828516318556e-45,-1.47551559813736,0.063,0.432,2.74614667331886e-41,"0","BBC1"
"GAPC1",1.28123806436705e-43,-2.09282449005391,0.027,0.342,2.28726619250805e-39,"0","GAPC1"
"FBA8",1.62834080906526e-43,-2.39337276181493,0.019,0.322,2.9069140123433e-39,"0","FBA8"
"EXT3",1.66495940597584e-41,-6.96751733303366,0.003,0.271,2.97228553154806e-37,"0","EXT3"
"AT2G27720",1.10843145652197e-40,-1.34116105338059,0.05,0.377,1.97877183618302e-36,"0","AT2G27720"
"AAC1",1.34492222717167e-40,-1.15494459933407,0.065,0.409,2.40095515994686e-36,"0","AAC1"
"AT4G15000",3.48311777313644e-40,-1.98872507167778,0.022,0.311,6.21806184860318e-36,"0","AT4G15000"
"AT3G60245",3.53179380977217e-40,-1.18071472917698,0.067,0.409,6.30495830920527e-36,"0","AT3G60245"
"GAPC2",3.91571103898469e-40,-1.48307749670901,0.048,0.368,6.99032734679547e-36,"0","GAPC2"
"AT5G08670",1.93007107149287e-39,-1.40552106160856,0.041,0.349,3.44556287682907e-35,"0","AT5G08670"
"AT3G09200",9.06905376877996e-39,-1.08477195481567,0.072,0.413,1.6190074788026e-34,"0","AT3G09200"
"AT5G60390",1.25754009483286e-38,-0.897326794364047,0.166,0.594,2.24496057729563e-34,"0","AT5G60390"
"emb2171",5.73183315894531e-38,-0.954051564786786,0.096,0.458,1.02324685553492e-33,"0","emb2171"
"AT5G56710",7.71087740069103e-38,-1.6616083991298,0.033,0.321,1.37654583357136e-33,"0","AT5G56710"
"AT5G18380",9.17401671823351e-38,-1.99237413186449,0.022,0.297,1.63774546453905e-33,"0","AT5G18380"
"AT3G08520",1.11568600280284e-37,-1.77286369121369,0.027,0.309,1.99172265220364e-33,"0","AT3G08520"
"AT3G06700",1.14193947609408e-37,-1.07217546963071,0.062,0.385,2.03859035272316e-33,"0","AT3G06700"
"EMB2296",1.34725273041707e-37,-1.3381396743156,0.062,0.383,2.40511557434055e-33,"0","EMB2296"
"GSTF8",2.03843525238913e-37,-1.30293287728263,0.057,0.37,3.63901461256507e-33,"0","GSTF8"
"RGP2",2.41312445785422e-37,-2.21674201033647,0.026,0.302,4.30790978216136e-33,"0","RGP2"
"AT5G19510",3.64531673103334e-37,-1.16406217889685,0.038,0.329,6.50761942824072e-33,"0","AT5G19510"
"RPS15A",1.10422423327138e-36,-1.23327518793041,0.038,0.326,1.97126110123606e-32,"0","RPS15A"
"emb2386",2.33201468354039e-36,-0.902075470617753,0.101,0.459,4.16311261305631e-32,"0","emb2386"
"AGP9",3.00217339582922e-36,-1.16389297446311,0.046,0.342,5.35947994623432e-32,"0","AGP9"
"AT2G37190",5.112166809267e-36,-1.50955473358308,0.031,0.307,9.12624018790346e-32,"0","AT2G37190"
"UBQ1",5.20765778651469e-36,-1.33478382286125,0.055,0.358,9.29671068048603e-32,"0","UBQ1"
"AT1G52300",5.27463215865691e-36,-1.02121693612262,0.074,0.401,9.41627332963431e-32,"0","AT1G52300"
"ROC5",2.09790579268065e-35,-0.952833002260886,0.045,0.334,3.7451814210935e-31,"0","ROC5"
"RP1",2.9531544374932e-35,-1.11396564055722,0.072,0.392,5.27197130181287e-31,"0","RP1"
"AT2G01250",6.4118445112623e-35,-1.22601325147262,0.043,0.326,1.14464248215055e-30,"0","AT2G01250"
"AT3G22230",6.46829767075549e-35,-1.51702535300386,0.031,0.299,1.15472050018327e-30,"0","AT3G22230"
"AT5G61170",7.9736057539879e-35,-1.11570224131534,0.051,0.344,1.42344809920192e-30,"0","AT5G61170"
"AT4G18100",1.39780526872001e-34,-1.32352054498821,0.046,0.332,2.49536196571896e-30,"0","AT4G18100"
"EMB1080",1.82089464334494e-34,-1.12180127765747,0.05,0.339,3.25066111729939e-30,"0","EMB1080"
