gene,MoransI_observed,MoransI_p.value,MoransI_p.adj
EXT3,0.7907884005,0,0
AGP31,0.5449093024,0,0
BGLU21,0.4389866408,0,0
UCC2,0.4334132495,0,0
AT1G36060,0.4317935877,0,0
AT2G43610,0.3887900518,0,0
AGP4,0.3586697351,0,0
GRP4,0.3233923125,0,0
AT5G27120,0.3043608638,0,0
NOP10,0.2982475724,0,0
XYP2,0.2981880186,0,0
AT4G29030,0.259916489,0,0
AGP14,0.2383775593,0,0
AT1G52930,0.2377976449,0,0
CYP78A5,0.2261895457,0,0
HDA3,0.1905979927,0,0
LTP6,0.1886662759,0,0
AFO,0.180315445,0,0
AGP12,0.1360410631,0,0
SIAR1,0.06617984666,0,0
