"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.02157545247776e-55,2.13878635901429,0.623,0.327,5.3941164977633e-51,"0","CAB1"
3.93477069443805e-31,1.30392688515638,0.622,0.379,7.0243526437108e-27,"0","RBCS1A"
4.65930701961346e-25,1.96270365781821,0.437,0.256,8.31779489141394e-21,"0","LHB1B2"
7.45214170399609e-18,1.85406368597072,0.375,0.231,1.33035633699738e-13,"0","LHCB3"
2.79671888161676e-17,2.27445930622948,0.308,0.162,4.99270254746224e-13,"0","AT2G10940"
1.33991906783931e-16,1.44830805454762,0.432,0.288,2.39202351990673e-12,"0","RBCS3B"
3.76053665594639e-14,2.13439305838118,0.281,0.155,6.71331003819549e-10,"0","PSAL"
3.7961739783585e-14,3.90467087570625,0.111,0.021,6.7769297861656e-10,"0","CA1"
1.16859311860896e-13,1.71349670329156,0.353,0.235,2.08617243534071e-09,"0","GER3"
3.13193727831215e-12,3.00578285863313,0.149,0.05,5.59113442924285e-08,"0","GRP3S"
3.35822115307196e-11,2.1765452005137,0.236,0.131,5.99509640246406e-07,"0","PSAO"
8.10819257326591e-11,1.42859078993607,0.351,0.249,1.44747453817943e-06,"0","LHCA1"
1.27465882335602e-09,2.21190145390784,0.2,0.105,2.27552093145516e-05,"0","GER1"
1.28904482423622e-09,1.88884664948749,0.26,0.165,2.30120282022649e-05,"0","RCA"
2.50182186824789e-09,1.9425669659304,0.228,0.133,4.46625239919613e-05,"0","PSAK"
4.99588628705937e-09,1.59009199400016,0.293,0.202,8.91865619965838e-05,"0","CAB3"
6.01419755029220e-09,2.51673005137815,0.151,0.068,0.000107365454667816,"0","PSBQ-2"
7.69978886481017e-09,1.96638409440379,0.226,0.137,0.000137456630814591,"0","PSAE-1"
9.07799700196002e-09,2.48790750175584,0.147,0.065,0.00016206040247899,"0","LHB1B1"
2.17541822047275e-08,1.94100097471124,0.197,0.109,0.000388355660718795,"0","PSAG"
3.86940159191889e-08,1.7124837207025,0.281,0.204,0.00069076557218936,"0","LHCB4.1"
5.31990399319543e-08,1.67792425586172,0.253,0.171,0.000949709260865249,"0","CAB2"
2.52455967302222e-07,1.02035960441032,0.026,0.098,0.00450684392827926,"0","SIR"
7.21083738979992e-07,2.10625852414834,0.149,0.077,0.0128727869082708,"0","LHCB2.1"
7.24437084451493e-07,1.87270074285949,0.207,0.132,0.0129326508316281,"0","LHCA3"
1.22821854016317e-06,1.90875430413861,0.212,0.142,0.0219261573789928,"0","LHCA2"
1.39596680334458e-06,1.37944762737977,0.286,0.221,0.0249207993733074,"0","PSBR"
